Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Product ID,Quantity,Discount,Profit
CA-2014-115812,09-06-2014,14-06-2014,Standard Class,BH-11710,FUR-FU-10001487,7,0,14.1694
CA-2014-115812,09-06-2014,14-06-2014,Standard Class,BH-11710,OFF-AR-10002833,4,0,1.9656
CA-2014-115812,09-06-2014,14-06-2014,Standard Class,BH-11710,TEC-PH-10002275,6,0.2,90.7152
CA-2014-115812,09-06-2014,14-06-2014,Standard Class,BH-11710,OFF-BI-10003910,3,0.2,5.7825
CA-2014-115812,09-06-2014,14-06-2014,Standard Class,BH-11710,OFF-AP-10002892,5,0,34.47
CA-2014-115812,09-06-2014,14-06-2014,Standard Class,BH-11710,FUR-TA-10001539,9,0.2,85.3092
CA-2014-115812,09-06-2014,14-06-2014,Standard Class,BH-11710,TEC-PH-10002033,4,0.2,68.3568
CA-2014-105893,11-11-2014,18-11-2014,Standard Class,PK-19075,OFF-ST-10004186,6,0,13.3176
CA-2014-167164,13-05-2014,15-05-2014,Second Class,AG-10270,OFF-ST-10000107,2,0,9.99
CA-2014-143336,27-08-2014,01-09-2014,Second Class,ZD-21925,OFF-AR-10003056,2,0,2.4824
CA-2014-143336,27-08-2014,01-09-2014,Second Class,ZD-21925,TEC-PH-10001949,3,0.2,16.011
CA-2014-143336,27-08-2014,01-09-2014,Second Class,ZD-21925,OFF-BI-10002215,4,0.2,7.384
CA-2014-146703,20-10-2014,25-10-2014,Second Class,PO-18865,OFF-ST-10001713,4,0,8.4784
CA-2014-106376,05-12-2014,10-12-2014,Standard Class,BS-11590,OFF-AR-10002671,8,0.2,111.3024
CA-2014-106376,05-12-2014,10-12-2014,Standard Class,BS-11590,TEC-PH-10002726,4,0.2,62.988
US-2014-147606,26-11-2014,01-12-2014,Second Class,JE-15745,FUR-FU-10003194,5,0.6,-14.475
CA-2014-139451,12-10-2014,16-10-2014,Standard Class,DN-13690,OFF-AR-10002053,5,0,4.172
CA-2014-139451,12-10-2014,16-10-2014,Standard Class,DN-13690,OFF-ST-10002370,1,0,6.2031
CA-2014-115259,25-08-2014,27-08-2014,Second Class,RC-19960,OFF-FA-10000621,14,0.2,14.5348
CA-2014-115259,25-08-2014,27-08-2014,Second Class,RC-19960,OFF-EN-10002600,2,0.2,1.652
CA-2014-115259,25-08-2014,27-08-2014,Second Class,RC-19960,OFF-PA-10004965,3,0.2,7.4925
CA-2014-115259,25-08-2014,27-08-2014,Second Class,RC-19960,OFF-EN-10002504,6,0.2,44.0316
US-2014-152030,26-12-2014,28-12-2014,Second Class,AD-10180,FUR-CH-10004063,3,0.3,-8.5794
US-2014-134614,20-09-2014,25-09-2014,Standard Class,PF-19165,FUR-TA-10004534,6,0.5,-407.682
CA-2014-110072,22-10-2014,28-10-2014,Standard Class,MG-17680,FUR-FU-10000521,4,0.2,12.9096
CA-2014-104269,01-03-2014,06-03-2014,Second Class,DB-13060,FUR-CH-10004063,2,0.2,51.4764
CA-2014-139892,08-09-2014,12-09-2014,Standard Class,BM-11140,OFF-AR-10004441,3,0.2,2.7324
CA-2014-139892,08-09-2014,12-09-2014,Standard Class,BM-11140,TEC-MA-10000822,8,0.4,-1359.992
CA-2014-139892,08-09-2014,12-09-2014,Standard Class,BM-11140,OFF-ST-10000991,3,0.2,-58.6347
CA-2014-139892,08-09-2014,12-09-2014,Standard Class,BM-11140,FUR-CH-10004287,9,0.3,-24.858
CA-2014-139892,08-09-2014,12-09-2014,Standard Class,BM-11140,OFF-AR-10002656,6,0.2,6.8136
CA-2014-139892,08-09-2014,12-09-2014,Standard Class,BM-11140,OFF-AP-10002518,5,0.8,-453.849
CA-2014-139892,08-09-2014,12-09-2014,Standard Class,BM-11140,TEC-PH-10003931,3,0.2,8.9985
CA-2014-118962,05-08-2014,09-08-2014,Standard Class,CS-12130,OFF-PA-10000659,3,0,9.8418
CA-2014-118962,05-08-2014,09-08-2014,Standard Class,CS-12130,OFF-PA-10001144,2,0,53.2608
CA-2014-118962,05-08-2014,09-08-2014,Standard Class,CS-12130,FUR-CH-10003817,7,0.2,21.259
US-2014-100853,14-09-2014,19-09-2014,Standard Class,JB-15400,OFF-AP-10000891,2,0.8,-131.12
US-2014-100853,14-09-2014,19-09-2014,Standard Class,JB-15400,OFF-LA-10003148,4,0.2,6.552
CA-2014-166191,05-12-2014,09-12-2014,Second Class,DK-13150,OFF-ST-10003455,2,0.2,1.8612
CA-2014-166191,05-12-2014,09-12-2014,Second Class,DK-13150,TEC-AC-10004659,7,0.2,76.6395
CA-2014-158274,19-11-2014,24-11-2014,Second Class,RM-19675,TEC-PH-10003273,4,0,131.0296
CA-2014-158274,19-11-2014,24-11-2014,Second Class,RM-19675,TEC-PH-10004896,5,0,41.986
CA-2014-158274,19-11-2014,24-11-2014,Second Class,RM-19675,TEC-AC-10002345,2,0,7.25
CA-2014-123260,26-08-2014,30-08-2014,Standard Class,FM-14290,TEC-AC-10002323,8,0,22.984
CA-2014-140004,21-03-2014,25-03-2014,Standard Class,CB-12025,OFF-AR-10004685,2,0.2,1.2038
CA-2014-140004,21-03-2014,25-03-2014,Standard Class,CB-12025,OFF-AR-10004027,3,0.2,1.5876
CA-2014-133690,03-08-2014,05-08-2014,First Class,BS-11755,FUR-TA-10004289,2,0.5,-161.875
CA-2014-133690,03-08-2014,05-08-2014,First Class,BS-11755,OFF-AP-10003622,1,0.2,0.2925
US-2014-156216,13-09-2014,17-09-2014,Standard Class,EA-14035,OFF-BI-10001679,7,0.7,-12.432
CA-2014-131926,01-06-2014,06-06-2014,Second Class,DW-13480,FUR-CH-10004063,7,0,580.5394
CA-2014-131926,01-06-2014,06-06-2014,Second Class,DW-13480,OFF-ST-10002276,2,0,41.68
CA-2014-131926,01-06-2014,06-06-2014,Second Class,DW-13480,OFF-PA-10004082,6,0,23.94
CA-2014-131926,01-06-2014,06-06-2014,Second Class,DW-13480,OFF-AP-10002945,5,0,496.0725
CA-2014-131926,01-06-2014,06-06-2014,Second Class,DW-13480,OFF-PA-10000061,4,0,12.4416
US-2014-106992,19-09-2014,21-09-2014,Second Class,SB-20290,TEC-MA-10000822,3,0.4,-509.997
US-2014-106992,19-09-2014,21-09-2014,Second Class,SB-20290,TEC-MA-10003353,7,0.4,-251.9958
CA-2014-111451,26-12-2014,28-12-2014,First Class,KL-16555,FUR-FU-10004091,8,0.2,78.8592
CA-2014-111451,26-12-2014,28-12-2014,First Class,KL-16555,FUR-CH-10001891,3,0.2,20.1558
CA-2014-111451,26-12-2014,28-12-2014,First Class,KL-16555,FUR-FU-10002918,3,0.2,-24.5646
CA-2014-111451,26-12-2014,28-12-2014,First Class,KL-16555,OFF-BI-10004593,5,0.7,-62.88
CA-2014-111451,26-12-2014,28-12-2014,First Class,KL-16555,OFF-FA-10004854,3,0.2,9.2988
CA-2014-130960,30-12-2014,04-01-2015,Standard Class,KB-16600,OFF-AR-10003651,3,0,2.8536
CA-2014-111003,01-06-2014,06-06-2014,Standard Class,CR-12625,OFF-BI-10001072,3,0,20.9208
